group	chao	shannon	cow	type	lact_period	eff_inoc	donor
6836_L_E	2015.428571	5.454352	6836	L	E	C	N
6836_L_L	2837.256716	5.881053	6836	L	L	C	N
6836_L_M	3290.52	5.786611	6836	L	M	C	N
6836_S_E	2475.698413	4.919844	6836	S	E	C	N
6836_S_L	2037.912387	6.104638	6836	S	L	C	N
6836_S_M	2024.730769	5.817582	6836	S	M	C	N
6838_L_E	2451.29064	5.785339	6838	L	E	LE	N
6838_L_L	3438.175	5.825382	6838	L	L	LE	N
6838_L_M	3521.5	5.563008	6838	L	M	LE	N
6838_S_E	1781.653266	5.300357	6838	S	E	LE	N
6838_S_L	1953.150685	5.271789	6838	S	L	LE	N
6838_S_M	1675.711628	5.244852	6838	S	M	LE	N
6840_L_E	2935.338624	5.482909	6840	L	E	LE	N
6840_L_L	3030.571429	5.755229	6840	L	L	LE	N
6840_L_M	3686.572864	5.838696	6840	L	M	LE	N
6840_S_E	1839.632558	5.57494	6840	S	E	LE	N
6840_S_L	3741.171233	6.085463	6840	S	L	LE	N
6840_S_M	2597.517241	6.053819	6840	S	M	LE	N
6841_L_E	1736.084158	5.24512	6841	L	E	HE	N
6841_L_L	2385.12766	5.848028	6841	L	L	HE	N
6841_L_M	2235.763819	5.540795	6841	L	M	HE	N
6841_S_E	1557.210227	4.712822	6841	S	E	HE	N
6841_S_L	1978.60274	5.970301	6841	S	L	HE	N
6841_S_M	2293.520179	5.598608	6841	S	M	HE	N
6843_L_E	2267.678218	5.73329	6843	L	E	C	N
6843_L_L	3211.95	5.86517	6843	L	L	C	N
6843_L_M	2067.389105	5.763364	6843	L	M	C	N
6843_S_E	3355.954545	5.09611	6843	S	E	C	N
6843_S_L	3734.100746	5.951171	6843	S	L	C	N
6843_S_M	3131.018587	5.775296	6843	S	M	C	N
6848_L_E	3529.183333	5.528575	6848	L	E	LE	N
6848_L_L	2283.322314	5.776068	6848	L	L	LE	N
6848_L_M	2517.333333	5.775899	6848	L	M	LE	N
6848_S_E	3205.939516	5.732546	6848	S	E	LE	N
6848_S_L	1905.327703	6.136683	6848	S	L	LE	N
6848_S_M	1859.253807	5.764851	6848	S	M	LE	N
6850_L_E	2013.855856	5.507834	6850	L	E	C	N
6850_L_L	2615.004274	6.048279	6850	L	L	C	N
6850_L_M	2512.888199	5.351866	6850	L	M	C	N
6850_S_E	3387.602362	5.275182	6850	S	E	C	N
6850_S_L	1835.111111	5.814175	6850	S	L	C	N
6850_S_M	1532.841463	5.117917	6850	S	M	C	N
6851_L_E	2803.144981	5.972937	6851	L	E	HE	N
6851_L_L	2255.979239	5.607645	6851	L	L	HE	N
6851_L_M	2539.376384	5.936579	6851	L	M	HE	N
6851_S_E	2422.802158	6.12309	6851	S	E	HE	N
6851_S_L	2002.753086	6.021704	6851	S	L	HE	N
6851_S_M	2316.626374	6.001447	6851	S	M	HE	N
6853_L_E	2515.777778	5.567544	6853	L	E	HE	N
6853_L_L	3697.026201	5.883241	6853	L	L	HE	N
6853_L_M	1926.958457	5.667923	6853	L	M	HE	N
6853_S_E	1864.533019	5.864452	6853	S	E	HE	N
6853_S_L	3968.610687	6.150608	6853	S	L	HE	N
6853_S_M	3448.184971	6.083508	6853	S	M	HE	N
6855_L_E	2459.055556	5.59748	6855	L	E	C	N
6855_L_L	1717.978947	5.764284	6855	L	L	C	N
6855_L_M	2100.605263	5.524747	6855	L	M	C	N
6855_S_E	3802.046875	5.259608	6855	S	E	C	N
6855_S_L	1930.295775	5.698959	6855	S	L	C	N
6855_S_M	1603.685535	4.958565	6855	S	M	C	N
6859_L_E	3334.127168	5.500987	6859	L	E	LE	N
6859_L_L	2104.051724	5.667449	6859	L	L	LE	N
6859_L_M	1935.181452	5.839004	6859	L	M	LE	N
6859_S_E	4236.827815	5.275306	6859	S	E	LE	N
6859_S_L	2817.194656	6.084419	6859	S	L	LE	N
6859_S_M	2280.837209	5.510181	6859	S	M	LE	N
6860_L_E	2358.512	5.762805	6860	L	E	HE	N
6860_L_L	2146.883721	5.740804	6860	L	L	HE	N
6860_L_M	1929.891403	5.866334	6860	L	M	HE	N
6860_S_E	2625.039683	5.957928	6860	S	E	HE	N
6860_S_L	2539.08134	6.219997	6860	S	L	HE	N
6860_S_M	2615.816594	5.871222	6860	S	M	HE	N
6861_L_E	2586.6	5.453867	6861	L	E	LE	N
6861_L_L	2380.115942	6.023421	6861	L	L	LE	N
6861_L_M	1872.515358	5.520817	6861	L	M	LE	N
6861_S_E	3559.583691	5.639575	6861	S	E	LE	N
6861_S_L	1940.229167	5.886124	6861	S	L	LE	N
6861_S_M	1774.257009	5.723333	6861	S	M	LE	N
6868_L_E	3301.48913	5.760202	6868	L	E	HE	N
6868_L_L	2247.366412	5.808101	6868	L	L	HE	N
6868_L_M	2242.208738	5.838587	6868	L	M	HE	N
6868_S_E	1762.730909	5.900146	6868	S	E	HE	N
6868_S_L	2006.726027	5.981499	6868	S	L	HE	N
6868_S_M	2218.927602	5.716461	6868	S	M	HE	N
6869_L_E	1680.910448	5.234435	6869	L	E	LE	N
6869_L_L	2170.357466	5.724476	6869	L	L	LE	N
6869_L_M	1999.938202	5.338212	6869	L	M	LE	N
6869_S_E	1509.440789	5.295997	6869	S	E	LE	N
6869_S_L	3215.676349	5.806763	6869	S	L	LE	N
6869_S_M	2626.8	5.515065	6869	S	M	LE	N
6873_L_E	3136.616915	5.655772	6873	L	E	HE	N
6873_L_L	3162.239362	5.948897	6873	L	L	HE	N
6873_L_M	2257.703704	5.655229	6873	L	M	HE	N
6873_S_E	2199.777778	5.820741	6873	S	E	HE	N
6873_S_L	2288.580311	5.794174	6873	S	L	HE	N
6873_S_M	4723.466667	5.82491	6873	S	M	HE	N
6875_L_E	2539.207373	5.597679	6875	L	E	HE	N
6875_L_L	2401.591133	5.594192	6875	L	L	HE	N
6875_L_M	2628.02069	5.778294	6875	L	M	HE	N
6875_S_E	2482.26484	5.870186	6875	S	E	HE	N
6875_S_L	2448.4	5.278994	6875	S	L	HE	N
6875_S_M	2454.204819	5.889487	6875	S	M	HE	N
6877_L_E	2735.586066	5.806404	6877	L	E	C	N
6877_L_L	2018.003861	5.700113	6877	L	L	C	N
6877_L_M	2644.510638	5.733853	6877	L	M	C	N
6877_S_E	2204.69657	5.671081	6877	S	E	C	N
6877_S_L	2850.012146	5.86545	6877	S	L	C	N
6877_S_M	2757.315789	5.930454	6877	S	M	C	N
6880_L_E	2875.668712	5.392026	6880	L	E	LE	N
6880_L_L	1946.443396	5.461211	6880	L	L	LE	N
6880_L_M	4158.71161	5.493215	6880	L	M	LE	N
6880_S_E	2251.594595	5.690606	6880	S	E	LE	N
6880_S_L	5039.144828	5.924818	6880	S	L	LE	N
6880_S_M	2223.021918	5.865857	6880	S	M	LE	N
