"chao"	"shannon"	"cow"
"HE_I_1_24"	1984.897436	5.947484	"HE"
"HE_I_1_27"	2194.141079	5.945399	"HE"
"HE_I_1_30"	2329.003195	6.024087	"HE"
"HE_I_2_1"	2276.126582	5.876582	"HE"
"HE_I_2_10"	2243.060241	5.924247	"HE"
"HE_I_2_13"	3893.669355	5.031439	"HE"
"HE_I_2_15"	2472.207469	5.871798	"HE"
"HE_I_2_17"	1989.710611	6.020999	"HE"
"HE_I_2_2"	4068.095745	5.936261	"HE"
"HE_I_2_20"	2882.477273	5.989986	"HE"
"HE_I_2_27"	3515	6.139559	"HE"
"HE_I_2_3"	4973.478873	5.93133	"HE"
"HE_I_3_1"	2839.645161	6.157321	"HE"
"HE_I_3_10"	2896.733591	5.52905	"HE"
"HE_I_3_13"	2389.50463	5.992351	"HE"
"HE_I_3_15"	2272.345455	5.85843	"HE"
"HE_I_3_17"	4174.573034	6.189526	"HE"
"HE_I_3_2"	2082.663415	5.934577	"HE"
"HE_I_3_20"	2272.38	6.019345	"HE"
"HE_I_3_24"	2470.89	5.959564	"HE"
"HE_I_3_27"	1803.512438	5.4432	"HE"
"HE_I_3_29"	2941.567308	5.723697	"HE"
"HE_I_3_3"	5743.561728	5.800194	"HE"
"HE_I_3_31"	1949.678392	5.672613	"HE"
"HE_I_3_6"	2347.277978	5.912827	"HE"
"HE_I_4_10"	2106.530172	5.91103	"HE"
"HE_I_4_12"	1785.746032	5.455841	"HE"
"HE_I_4_17"	2001.439716	5.748054	"HE"
"HE_I_4_21"	2656.513274	5.954295	"HE"
"HE_I_4_24"	3946.921348	5.926243	"HE"
"HE_I_4_26"	2079.364583	5.498125	"HE"
"HE_I_4_28"	3567.743494	5.795318	"HE"
"HE_I_4_3"	2152.034602	5.985621	"HE"
"HE_I_4_7"	2580.707317	5.91096	"HE"
"HE_I_5_01"	2171.014925	5.912889	"HE"
"HE_I_5_10"	2475.844444	5.585242	"HE"
"HE_I_5_12"	2501.14527	5.961288	"HE"
"HE_I_5_15"	4921.767956	5.854601	"HE"
"HE_I_5_19"	1966.214286	5.701771	"HE"
"HE_I_5_22"	1853.350711	5.817855	"HE"
"HE_I_5_26"	2213.755459	5.798384	"HE"
"HE_I_5_5"	2272.542017	5.986451	"HE"
"HE_I_5_8"	2599.744444	6.047669	"HE"
"HE_I_6_16"	4930.721311	5.8042	"HE"
"HE_I_6_19"	2028.701107	5.905185	"HE"
"HE_I_6_2"	2071.577093	5.947742	"HE"
"HE_I_6_21"	2949.56044	5.927148	"HE"
"HE_I_6_23"	2237.621739	5.871356	"HE"
"HE_I_6_26"	2163.009615	5.61688	"HE"
"HE_I_6_30"	3754.848592	5.99425	"HE"
"HE_I_6_5"	3683.383333	6.14058	"HE"
"HE_I_6_7"	3125.081761	5.829678	"HE"
"HE_I_7_12"	2470.892193	5.86576	"HE"
"HE_I_7_14"	2842.090909	5.505038	"HE"
"HE_I_7_19"	2850.511905	5.986535	"HE"
"HE_I_7_24"	2732.539604	5.726318	"HE"
"HE_I_7_26"	1845.50303	5.733164	"HE"
"HE_I_7_28"	3032.124567	6.206718	"HE"
"HE_I_7_3"	3778.321918	5.742621	"HE"
"HE_I_7_5"	2430.827586	5.583278	"HE"
"HE_I_7_7"	3288.087719	5.939341	"HE"
"HE_I_8_11"	2649	6.214348	"HE"
"HE_I_8_16"	2815.914286	6.006303	"HE"
"HE_I_8_2"	1887.040609	5.71798	"HE"
"HE_I_8_21"	3623.217391	6.074959	"HE"
"HE_I_8_23"	2262.710769	5.943534	"HE"
"HE_I_8_25"	2628.230469	6.098178	"HE"
"HE_I_8_9"	3237.855856	6.205217	"HE"
"HE_I_9_1"	2535.121951	6.030972	"HE"
"HE_I_9_6"	2607.409253	6.183058	"HE"
"HE_L_1_27"	2573.821429	5.868664	"HE"
"HE_L_2_1"	2671.147959	5.699467	"HE"
"HE_L_2_10"	1409.230769	4.994213	"HE"
"HE_L_2_15"	2453.38843	4.913285	"HE"
"HE_L_3_01"	2700.076923	5.519527	"HE"
"HE_L_3_10"	3529.914591	6.138145	"HE"
"HE_L_3_15"	2625.928144	5.752846	"HE"
"HE_L_5_5"	2476.400685	5.612864	"HE"
"HE_L_6_5"	2287.760563	5.75407	"HE"
"HE_L_7_21"	2051.879464	5.552685	"HE"
"HE_S_1_27"	2061.810127	5.975562	"HE"
"HE_S_2_1"	2046.214008	6.044286	"HE"
"HE_S_2_10"	2066.358268	6.09777	"HE"
"HE_S_2_15"	2361.210526	6.16842	"HE"
"HE_S_3_1"	3071.833333	6.21333	"HE"
"HE_S_3_10"	2194.827957	6.060362	"HE"
"HE_S_3_15"	2353.2	6.154378	"HE"
"HE_S_6_5"	2334.378571	6.214137	"HE"
"LE_I_1_27"	1757.530612	5.109805	"LE"
"LE_I_1_30"	3175.148014	5.695422	"LE"
